Downloaded from wid.world on 14-07-2026 at 08:24:25
Country Code;Country Name;WID Variable code;Percentile group;Unit;Variable name;Intuitive description;Technical description;Methodological Notes;Sources
GL;Greenland;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1920, pretax income shares estimated based on methodology in long-run paper (see sources).;"Main Paper: [URL][URL_LINK]https://wid.world/document/2022-dina-regional-update-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2022-07/[/URL_LINK][URL_TEXT]Fisher-Post, M. (2022), ""Simplified DINA for Australia, Canada and New Zealand"";[/URL_TEXT][/URL][URL][URL_LINK]https://wid.world/document/income-inequality-in-canada-wp-27/[/URL_LINK][URL_TEXT]Silas Xuereb, Matthew Fisher-Post, François Delorme and Camille Lajoie (2025), "" Income Inequality in Canada at the National and subnational levels 1982-2021""; [/URL_TEXT][/URL]Technote for update: [URL][URL_LINK]http://wid.world/document/2023-dina-update-canada-and-provinces-1920-2020-technical-note/[/URL_LINK][URL_TEXT]François Delorme, Fisher-Post, M., Camille Lajoie, and Silas Xuereb (2023), ""2023 DINA Regional Update for Canada"", [/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
GD;Grenada;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1920, pretax income shares estimated based on methodology in long-run paper (see sources).;"Main Paper: [URL][URL_LINK]https://wid.world/document/2022-dina-regional-update-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2022-07/[/URL_LINK][URL_TEXT]Fisher-Post, M. (2022), ""Simplified DINA for Australia, Canada and New Zealand"";[/URL_TEXT][/URL][URL][URL_LINK]https://wid.world/document/income-inequality-in-canada-wp-27/[/URL_LINK][URL_TEXT]Silas Xuereb, Matthew Fisher-Post, François Delorme and Camille Lajoie (2025), "" Income Inequality in Canada at the National and subnational levels 1982-2021""; [/URL_TEXT][/URL]Technote for update: [URL][URL_LINK]http://wid.world/document/2023-dina-update-canada-and-provinces-1920-2020-technical-note/[/URL_LINK][URL_TEXT]François Delorme, Fisher-Post, M., Camille Lajoie, and Silas Xuereb (2023), ""2023 DINA Regional Update for Canada"", [/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
GT;Guatemala;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1920, pretax income shares estimated based on methodology in long-run paper (see sources).;"Main Paper: [URL][URL_LINK]https://wid.world/document/2022-dina-regional-update-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2022-07/[/URL_LINK][URL_TEXT]Fisher-Post, M. (2022), ""Simplified DINA for Australia, Canada and New Zealand"";[/URL_TEXT][/URL][URL][URL_LINK]https://wid.world/document/income-inequality-in-canada-wp-27/[/URL_LINK][URL_TEXT]Silas Xuereb, Matthew Fisher-Post, François Delorme and Camille Lajoie (2025), "" Income Inequality in Canada at the National and subnational levels 1982-2021""; [/URL_TEXT][/URL]Technote for update: [URL][URL_LINK]http://wid.world/document/2023-dina-update-canada-and-provinces-1920-2020-technical-note/[/URL_LINK][URL_TEXT]François Delorme, Fisher-Post, M., Camille Lajoie, and Silas Xuereb (2023), ""2023 DINA Regional Update for Canada"", [/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
GN;Guinea;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1920, pretax income shares estimated based on methodology in long-run paper (see sources).;"Main Paper: [URL][URL_LINK]https://wid.world/document/2022-dina-regional-update-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2022-07/[/URL_LINK][URL_TEXT]Fisher-Post, M. (2022), ""Simplified DINA for Australia, Canada and New Zealand"";[/URL_TEXT][/URL][URL][URL_LINK]https://wid.world/document/income-inequality-in-canada-wp-27/[/URL_LINK][URL_TEXT]Silas Xuereb, Matthew Fisher-Post, François Delorme and Camille Lajoie (2025), "" Income Inequality in Canada at the National and subnational levels 1982-2021""; [/URL_TEXT][/URL]Technote for update: [URL][URL_LINK]http://wid.world/document/2023-dina-update-canada-and-provinces-1920-2020-technical-note/[/URL_LINK][URL_TEXT]François Delorme, Fisher-Post, M., Camille Lajoie, and Silas Xuereb (2023), ""2023 DINA Regional Update for Canada"", [/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
GW;Guinea-Bissau;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1920, pretax income shares estimated based on methodology in long-run paper (see sources).;"Main Paper: [URL][URL_LINK]https://wid.world/document/2022-dina-regional-update-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2022-07/[/URL_LINK][URL_TEXT]Fisher-Post, M. (2022), ""Simplified DINA for Australia, Canada and New Zealand"";[/URL_TEXT][/URL][URL][URL_LINK]https://wid.world/document/income-inequality-in-canada-wp-27/[/URL_LINK][URL_TEXT]Silas Xuereb, Matthew Fisher-Post, François Delorme and Camille Lajoie (2025), "" Income Inequality in Canada at the National and subnational levels 1982-2021""; [/URL_TEXT][/URL]Technote for update: [URL][URL_LINK]http://wid.world/document/2023-dina-update-canada-and-provinces-1920-2020-technical-note/[/URL_LINK][URL_TEXT]François Delorme, Fisher-Post, M., Camille Lajoie, and Silas Xuereb (2023), ""2023 DINA Regional Update for Canada"", [/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
GY;Guyana;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1920, pretax income shares estimated based on methodology in long-run paper (see sources).;"Main Paper: [URL][URL_LINK]https://wid.world/document/2022-dina-regional-update-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2022-07/[/URL_LINK][URL_TEXT]Fisher-Post, M. (2022), ""Simplified DINA for Australia, Canada and New Zealand"";[/URL_TEXT][/URL][URL][URL_LINK]https://wid.world/document/income-inequality-in-canada-wp-27/[/URL_LINK][URL_TEXT]Silas Xuereb, Matthew Fisher-Post, François Delorme and Camille Lajoie (2025), "" Income Inequality in Canada at the National and subnational levels 1982-2021""; [/URL_TEXT][/URL]Technote for update: [URL][URL_LINK]http://wid.world/document/2023-dina-update-canada-and-provinces-1920-2020-technical-note/[/URL_LINK][URL_TEXT]François Delorme, Fisher-Post, M., Camille Lajoie, and Silas Xuereb (2023), ""2023 DINA Regional Update for Canada"", [/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
HT;Haiti;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1920, pretax income shares estimated based on methodology in long-run paper (see sources).;"Main Paper: [URL][URL_LINK]https://wid.world/document/2022-dina-regional-update-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2022-07/[/URL_LINK][URL_TEXT]Fisher-Post, M. (2022), ""Simplified DINA for Australia, Canada and New Zealand"";[/URL_TEXT][/URL][URL][URL_LINK]https://wid.world/document/income-inequality-in-canada-wp-27/[/URL_LINK][URL_TEXT]Silas Xuereb, Matthew Fisher-Post, François Delorme and Camille Lajoie (2025), "" Income Inequality in Canada at the National and subnational levels 1982-2021""; [/URL_TEXT][/URL]Technote for update: [URL][URL_LINK]http://wid.world/document/2023-dina-update-canada-and-provinces-1920-2020-technical-note/[/URL_LINK][URL_TEXT]François Delorme, Fisher-Post, M., Camille Lajoie, and Silas Xuereb (2023), ""2023 DINA Regional Update for Canada"", [/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
HN;Honduras;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1920, pretax income shares estimated based on methodology in long-run paper (see sources).;"Main Paper: [URL][URL_LINK]https://wid.world/document/2022-dina-regional-update-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2022-07/[/URL_LINK][URL_TEXT]Fisher-Post, M. (2022), ""Simplified DINA for Australia, Canada and New Zealand"";[/URL_TEXT][/URL][URL][URL_LINK]https://wid.world/document/income-inequality-in-canada-wp-27/[/URL_LINK][URL_TEXT]Silas Xuereb, Matthew Fisher-Post, François Delorme and Camille Lajoie (2025), "" Income Inequality in Canada at the National and subnational levels 1982-2021""; [/URL_TEXT][/URL]Technote for update: [URL][URL_LINK]http://wid.world/document/2023-dina-update-canada-and-provinces-1920-2020-technical-note/[/URL_LINK][URL_TEXT]François Delorme, Fisher-Post, M., Camille Lajoie, and Silas Xuereb (2023), ""2023 DINA Regional Update for Canada"", [/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
HK;Hong Kong;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1920, pretax income shares estimated based on methodology in long-run paper (see sources).;"Main Paper: [URL][URL_LINK]https://wid.world/document/2022-dina-regional-update-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2022-07/[/URL_LINK][URL_TEXT]Fisher-Post, M. (2022), ""Simplified DINA for Australia, Canada and New Zealand"";[/URL_TEXT][/URL][URL][URL_LINK]https://wid.world/document/income-inequality-in-canada-wp-27/[/URL_LINK][URL_TEXT]Silas Xuereb, Matthew Fisher-Post, François Delorme and Camille Lajoie (2025), "" Income Inequality in Canada at the National and subnational levels 1982-2021""; [/URL_TEXT][/URL]Technote for update: [URL][URL_LINK]http://wid.world/document/2023-dina-update-canada-and-provinces-1920-2020-technical-note/[/URL_LINK][URL_TEXT]François Delorme, Fisher-Post, M., Camille Lajoie, and Silas Xuereb (2023), ""2023 DINA Regional Update for Canada"", [/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
HU;Hungary;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1920, pretax income shares estimated based on methodology in long-run paper (see sources).;"Main Paper: [URL][URL_LINK]https://wid.world/document/2022-dina-regional-update-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2022-07/[/URL_LINK][URL_TEXT]Fisher-Post, M. (2022), ""Simplified DINA for Australia, Canada and New Zealand"";[/URL_TEXT][/URL][URL][URL_LINK]https://wid.world/document/income-inequality-in-canada-wp-27/[/URL_LINK][URL_TEXT]Silas Xuereb, Matthew Fisher-Post, François Delorme and Camille Lajoie (2025), "" Income Inequality in Canada at the National and subnational levels 1982-2021""; [/URL_TEXT][/URL]Technote for update: [URL][URL_LINK]http://wid.world/document/2023-dina-update-canada-and-provinces-1920-2020-technical-note/[/URL_LINK][URL_TEXT]François Delorme, Fisher-Post, M., Camille Lajoie, and Silas Xuereb (2023), ""2023 DINA Regional Update for Canada"", [/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
